artist,genre,birthdate,deathdate,ageatdeath,birthdate1,birthdate2,birthdate3,deathdate1,deathdate2,deathdate3
Raphael Rabello,World Music,1962,1995,33,1962-10-31,1962-10-31,1962-10-31,1995-04-27,27,1995-04-27
Rashied Ali,Jazz,1935,2009,74,1935-07-01,1935-07-01,1933-07-01,2009-08-12,2009-08-12,2009-08-12
Rasoolan Bai,Thumri,1902,1974,72,,,1902,1974-12-15,15,
Ratnakar Pai,Thumris,1928,2009,81,1928-04-13,1928-04-13,1928-04-13,2009-08-09,2009-08-09,2009-08-09
Rauli Somerjoki,Rock and roll,1947,1987,40,1947-08-30,1947-08-30,30,1987-01-14,14,1987-01-14
Raul Seixas,Rock music,1945,1989,44,1945-06-28,,1945-06-28,1989-08-21,1989-08-21,
Raveendran,Carnatic music,1941,2005,64,1941-11-09,1941-11-09,1943,2005-03-03,3,2005-03-03
Ravinder Grewal,Punjabi language,1956,2011,55,1956-12-24,1974-03-28,24,2011-07-15,15,
Ray Barretto,Salsa music,1929,2006,77,1929-04-29,1929-04-29,19,2006-02-17,2006-02-17,2006-02-17
Ray Brown (musician),Jazz,1926,2002,76,1926-10-13,1926-10-13,1926-10-13,2002-07-02,2002-07-02,2002-07-02
Ray Charles,Vocal jazz,1930,2004,74,1930-09-23,1930-09-23,1930-09-23,2004-06-10,2004-06-10,2004-06-10
Ray Draper,Hard bop,1940,1982,42,1940-08-03,1940-08-03,1940-08-03,1982-11-01,1982-11-01,1982-11-01
Ray Eberle,Big band music,1919,1979,60,1919-01-19,1919-01-19,1919-01-19,1979-08-25,1979-08-25,1979-08-25
Ray Ellington,Blues,1915,1985,70,1915-03-17,1915-03-17,17,1985-02-27,27,1985-02-27
Ray Kinney,Hawaiian music,1900,1972,72,1900-09-26,1900-09-26,1900-09-26,1972-02-01,1972-02-01,1972-02-01
Ray McKinley,Jazz,1910,1995,85,1910-06-18,,1910-06-18,1995-05-07,1995-05-07,1995-05-07
Raymond Berthiaume,Jazz,1931,2009,78,1931-05-09,1931-05-09,1931,2009-06-23,2009,2009-06-23
Raymond Premru,Jazz,1934,1998,64,1934-06-06,,1934,1998-05-08,1998,
Raymond Scott,Jazz,1908,1994,86,1908-09-10,1908-09-10,10,1994-02-08,8,1994-02-08
Ray Nance,Jazz,1913,1976,63,1913-12-10,1913-12-10,1913-12-10,1976-01-28,1976-01-28,1976-01-28
Ray Noble,Jazz,1903,1978,75,1903-12-17,1903-12-17,17,1978-04-03,3,1978-04-03
Ray Noble (musician),Jazz,1903,1978,75,1903-12-17,,1903-12-17,,1978-04-03,
Ray Peterson,Traditional popular music,1939,2005,66,1939-04-23,1939-04-23,1939-04-23,2005-01-25,2005-01-25,2005-01-25
Ray Smith (rockabilly singer),Rhythm and blues,1934,1979,45,1934-10-30,1934-10-30,1934-10-30,1979-11-29,1979-11-29,1979-11-29
Ray Watts (singer),Roots reggae,1957,2000,43,1957-01-26,1957-01-26,26,2000-02-12,12,2000-02-12
Razzle (musician),Rock music,1960,1984,24,1960-12-02,1960-12-02,2,1984-12-09,8,1984-12-09
Rebop Kwaku Baah,Rock and roll,1944,1983,39,1944-02-13,1944-02-13,13,1983-01-12,1983-01-12,1983-01-12
Red Allen,Jazz,1906,1967,61,1906-01-07,1906-01-07,1906-01-07,1967-04-17,1967-04-17,1967-04-17
Red Callender,Jazz,1916,1992,76,1916-03-06,1916-03-06,1916-03-06,1992-03-08,1992-03-08,1992-03-08
Red Foley,Rockabilly,1910,1968,58,1910-06-17,1910-06-17,1910-06-17,1968-09-19,1968-09-19,1968-09-19
Red Holloway,Bebop,1927,2012,85,1927-05-31,1927-05-31,1927-05-31,2012-02-25,2012-02-24,2012-02-25
Red Norvo,Jazz,1908,1999,91,1908-03-31,1908-03-31,31,1999-04-06,6,1999-04-06
Red Perkins,Big band,1890,1976,86,1890-12-26,1890-12-26,1890-12-26,1976-09-27,1976-09-27,1976-09-27
Red Sovine,Country music,1918,1980,62,1918-07-17,1918-07-17,1918-07-17,1980-04-04,1980-04-04,2011-04-04
Reg Isidore,Blues rock,1949,2009,60,1949-04-04,1949-04-04,4,2009-03-22,22,2009-03-22
Reg Lindsay,Australian country music,1929,2008,79,1929-07-07,1929-07-07,1929-07-07,2008-08-05,2008-08-05,2008-08-05
Reido,Doom metal#Funeral doom,1952,2000,48,1952-02-25,1952-02-25,25,2000-07-02,2,2000-07-02
Remo Lauricella,Classical music,1912,2003,91,,1912,1922,2003-01-19,2003-01-19,2003-01-19
Renaldo Obie Benson,Rock and roll,1936,2005,69,1936-06-14,,1936-06-14,2005-07-01,2005-07-01,
Renato Russo,Music of Italy,1960,1996,36,,1960-03-27,1960-03-27,,1996-10-11,1996-10-11
René Berg,Hard rock,1956,2003,47,1956-02-24,1956-02-24,1956-02-24,2003-07-28,2003-07-28,2003-07-28
Renée Morisset,Classical music,1928,2009,81,1928-06-13,1928-06-13,1928-06-13,2009-05-03,2009-05-03,2009-05-03
Revo Jõgisalu,Rap music,1976,2011,35,1976-07-09,1976-07-09,1976-07-09,2011-08-30,30,2011-08-30
Revol Bunin,Classical music,1924,1976,52,1924-04-06,1924-04-06,1924,1976-07-03,1976,
Rewat Buddhinan,Rock music,1948,1996,48,1948-09-05,1948-09-05,1948-09-05,1996-10-27,1996-10-27,1996-10-27
Rex Stewart,Jazz,1907,1967,60,1907-02-22,1907-02-22,22,1967-09-07,1967-09-07,1967-09-07
Rhett Forrester,Heavy metal music,1956,1994,38,1956-09-22,1956-09-22,1956-09-22,1994-01-22,1994-01-22,1994-01-22
Ricardo Aguirre,Gaita (music style),1939,1969,30,1939-05-09,1939-05-09,1939-05-09,1969-11-08,1969-11-08,1969-11-08
Richard Bell (Canadian musician),Rock music,1946,2007,61,1946-03-05,1946-03-05,1946-03-05,2007-06-15,15,2007-06-15
Richard Berry,Doo-wop,1935,1997,62,1935-04-11,,1935-04-11,1997-01-23,1997-01-23,1997-01-23
Richard Campbell (classical musician),Classical Music,1956,2011,55,,1956-02-21,1956,,2011,2011-03-08
Richard Edwin Parris Jr.,Grunge rock,1963,2010,47,1963-07-13,,1963-07-13,2010-03-09,2010-03-09,
Richard Hageman,20th-century classical music,1881,1966,85,1881-07-09,1881-07-09,1881-07-09,1966-03-06,1966-03-06,1966-03-06
"Richard Maltby, Sr.",Swing music,1914,1991,77,1914-06-26,1914-06-26,1914-06-26,1991-08-19,1991-08-19,1991-08-19
Richard Manuel,Rock and roll,1943,1986,43,1943-04-03,1943-04-03,1943-04-03,1986-03-04,1986-03-04,1986-03-04
Richard Pistol Allen,Soul music,1932,2002,70,1932-08-13,1932-08-13,1932-08-13,2002-06-30,2002-06-30,2002-06-30
Richard Popcorn Wylie,Soul music,1939,2008,69,1939-06-06,1939-06-06,1939-06-06,2008-09-07,2008-09-07,2008-09-07
Richard Rodgers,Musical theatre,1902,1979,77,1902-06-28,1902-06-28,1902-06-28,1979-12-30,1979-12-30,1979-12-30
Richard Sohl,Punk rock,1953,1990,37,1953-05-26,1953-05-26,1953-05-26,1990-06-03,1990-06-03,
Richard Wright (musician),Psychedelic rock,1943,2008,65,1943-07-28,1943-07-28,1943,2008-09-15,2008,2008-09-15
Rich Cronin,Hip hop music,1974,2010,36,1974-08-30,1974-08-30,1974-08-30,2010-09-08,2010-09-08,2010-09-08
Richey Edwards,Alternative rock,1967,1995,28,1967-12-22,1967-12-22,22,1995-02-01,1,
Richie Hayward,Funk,1946,2010,64,1946-02-06,1946-02-06,1946-02-06,2010-08-12,2010-08-12,2010-08-12
Rich Mullins,Contemporary Christian music,1955,1997,42,1955-10-21,1955-10-21,1955-10-21,1997-09-19,1997-09-19,1997-09-19
Rick Coonce,Folk music,1946,2011,65,1946-08-01,1946-08-01,1946-08-01,2011-02-25,--02-25,2011-02-25
Rick James,Funk,1948,2004,56,1948-02-01,1942-02-01,1948-02-01,2004-08-06,2004-08-06,2004-08-06
Ricky Nelson,Country music,1940,1985,45,1940-05-08,1940-05-08,1940-05-08,1985-12-31,1985-12-31,1985-12-31
Ricky Williams (musician),Rock and roll,1956,1992,36,1956-10-04,1956-10-04,1956-10-04,1992-11-11,1992-11-11,1992-11-21
Ricky Wilson (American musician),Rock music,1953,1985,32,1953-03-19,1953-03-19,1953,1985-10-12,1985,1985-10-12
Rigo Tovar,Tejano music,1946,2005,59,1946-03-29,1946-03-29,1946-03-29,2005-03-27,2005-03-27,
Rino Gaetano,Rock music,1950,1981,31,1950-10-29,1950-10-29,1950-10-29,1981-06-02,1981-06-02,1981-06-02
Rita Montaner,Zarzuela,1900,1958,58,1900-10-21,1900-10-21,21,1958-04-17,17,1958-04-17
Rita Sakellariou,Laïko,1934,1999,65,1934-10-22,1934-10-22,1934,1999-08-06,1999,1999-08-06
Ritchie Pickett,Country music,1955,2011,56,1955-02-16,1955-02-16,16,2011-03-13,13,2011-03-13
Ritchie Valens,Rock and roll,1941,1959,18,1941-05-13,1941-05-13,1941-05-13,1959-02-03,1959-02-03,1959-02-03
Ritsuko Okazaki,Pop music,1959,2004,45,1959-12-29,1959-12-29,1959-12-29,2004-05-05,2004-05-05,2004-05-05
Roaring Lion,Calypso music,1908,1999,91,1908-02-22,22,22,1999-07-11,11,1999-07-11
Roba Stanley,Old-time music,1908,1986,78,1908-02-11,1908-02-11,1908-02-11,1986-06-08,1986-06-08,1986-06-08
Robbin Crosby,Heavy metal music,1959,2002,43,1959-08-04,1959-08-04,1959-08-04,2002-06-06,2002-06-06,2002-06-06
Rob Buck,Rock music,1958,2000,42,1958-08-01,1958-08-01,1958-08-01,2000-12-19,2000-12-19,2000-12-19
Roberta Martin,Gospel music,1907,1969,62,1907-02-12,1907-02-12,1907-02-12,1969-01-18,1969-01-18,1969-01-18
Robert Anderson (singer),Gospel music,1919,1995,76,1919-03-21,1919-03-21,,1995-06-15,,1995-06-15
Roberta Sherwood,Torch song,1913,1999,86,1913-07-01,1,1,1999-07-05,5,1999-07-05
Robert B. Sherman,Musical theatre,1925,2012,87,1925-12-19,1925-12-19,1925-12-19,2012-03-06,2012,2012-03-05
Robert Bernat,Brass band,1931,1994,63,1931-07-09,1931-07-09,1931-07-03,1994-12-03,1994-12-03,1994-12-03
Robert Blackwell,Pop music,1918,1985,67,1918-05-23,1918-05-23,1922-05-23,1985-03-09,1985-03-09,1985-03-09
Robert Burås,Alternative rock,1975,2007,32,1975-08-12,1975-08-12,1975,2007-07-12,2007,2007-07-12
Robert Ealey,Electric blues,1925,2001,76,1925-12-06,"Texarkana,_Texas",1925-12-06,2001-03-08,2001-03-08,"Fort Worth, Texas, United States"
Robert Johnson,Delta blues,1911,1938,27,1911-05-08,1911-05-08,1911,1938-08-16,1938,1938-08-16
Robert Kirby,Folk rock,1948,2009,61,1948-04-16,1948-04-16,16,2009-10-03,3,2009-10-03
Robert Lindemann,20th century classical music,1884,1975,91,1884-01-28,,1884-01-28,,1975,
"Robert Lockwood, Jr.",Delta blues,1915,2006,91,1915-03-27,1915-03-27,1915-03-27,2006-11-21,2006-11-21,2006-11-21
Robert Nighthawk,Blues,1909,1967,58,1909-11-30,1909-11-30,1909-11-30,1967-11-05,1967-11-05,1967-11-05
Roberto Cantoral,Bolero,1935,2010,75,1935-06-07,1935-06-07,1935,2010-08-07,2010,2010-08-07
Roberto Michelucci,Classical music,1922,2010,88,1922-10-29,1922-10-29,1922-10-29,2010-11-01,2010-11-01,2010-11-01
Roberto Ribeiro,Samba,1940,1996,56,1940-07-20,1940-07-20,1940-07-20,1996-01-08,1996-01-08,1996-01-08
Robert Palmer (writer),Blues,1945,1997,52,1945-06-19,1945-06-19,1945-02-19,1997-11-20,1997-11-20,1997-11-20
Robert Pete Williams,Jump blues,1914,1980,66,1914-03-14,1914-03-14,1914-03-14,1980-12-31,1980-12-31,1980-12-31
Robert Quine,Rock music,1942,2004,62,1942-12-30,1942-12-30,1942-12-30,2004-05-31,2004-05-31,2004-05-31
Robert Racic,Techno,1964,1996,32,1964-01-08,1964-01-08,1964-01-08,1996-10-25,25,1996-10-25
Robert Shaw (blues musician),Blues,1908,1985,77,1908-08-09,"Stafford, Texas, United States",1908-08-09,1985-05-18,1985-05-18,1985-05-18
Robert Ward (blues musician),Blues,1938,2008,70,1938-10-15,United_States,1938-10-15,2008-12-25,2008-12-25,"Dry Branch, Georgia, United States"
Robert White (guitarist),Soul music,1936,1994,58,1936-11-19,1936-11-19,1936-11-19,1994-10-27,1994-10-27,1994-10-27
Robert Wilkins,Blues,1896,1987,91,1896-01-16,1896-01-16,16,1987-05-26,26,1987-05-26
Robert Wright (writer),Musical theatre,1914,2005,91,1914-09-25,1914-09-25,1914-09-25,2005-07-27,2005-07-27,2005-07-27
Rob Grill,Rock music,1943,2011,68,1943-11-30,1943-11-30,1943-11-30,2011-07-11,2011,2011-07-11
Robin Gibb,Disco,1949,2012,63,1949-12-22,1949-12-22,1949,2012-05-20,2012,2012-05-20
Rob Pilatus,Pop music,1965,1998,33,1965-06-08,1965-06-08,1965-06-08,1998-04-02,1998-04-02,1998-04-02
Rob Tyner,Protopunk,1944,1991,47,1944-12-12,1944-12-12,1944-12-12,1991-09-17,1991-09-17,1991-09-17
Roby Duke,Contemporary Christian music,1956,2007,51,1956-12-06,1956-12-06,1956-12-06,2007-12-26,2007-12-26,2007-12-26
Rocío Dúrcal,Singer,1944,2006,62,1944-10-04,1944-10-04,1944-10-04,2006-03-25,2006-03-25,2006-03-25
Rockin' Dave Allen,Blues,1941,1985,44,1941-09-27,1941-09-27,1941-09-27,1985-04-28,1985-04-28,1985-04-28
Rockin' Dopsie,Zydeco,1932,1993,61,1932-02-10,1932-02-10,1932-02-10,1993-08-26,1993-08-26,1993-08-26
Rockin' Sidney,Rhythm and blues,1938,1998,60,1938-04-09,1938-04-09,1938-04-09,1998-02-25,1998-02-25,1998-02-25
Roc Raida,Turntablism,1972,2009,37,1972-05-17,,1972-05-17,2009-09-19,2009-09-19,
Rod Cless,Jazz,1907,1944,37,1907-05-20,1907-05-20,20,1944-12-08,8,1944-12-08
Rod Lauren,Pop music,1940,2007,67,1940-03-20,1940-03-20,1940-03-20,2007-07-11,2007-07-11,2007-07-11
Rodrigo Bueno,Cuarteto Arena,1973,2000,27,1973-05-24,1973-05-24,24,2000-06-24,24,2000-06-24
Rodrigo González (Mexican musician),Folk music,1950,1985,35,1950-12-25,1950-12-25,1950-12-25,1985-09-19,1985-09-19,1985-09-19
Rodrigo Riera,Music of Venezuela,1923,1999,76,1923-09-19,1923-09-19,,1999-08-19,,1999-08-19
Roger Bennett (musician),Southern Gospel,1959,2007,48,1959-03-10,1959-03-10,1959-03-10,2007-03-17,2007-03-17,2007-03-17
Roger Nichols (recording engineer),Country music,1944,1970,26,1944-09-22,1944-09-22,1944-09-22,--04-09,2011-04-09,
Roger Troutman,G-funk,1951,1999,48,1951-11-29,1951-11-29,1951-11-29,1999-04-25,1999-04-25,1999-04-25
Roger Williams (pianist),Pop standards,1924,2011,87,1924-10-01,,1924-10-01,2011-10-08,2011-10-08,
Roland Hanna,Jazz,1932,2002,70,1932-02-10,,1932-02-10,2002-11-13,2002-11-13,
Rolf Billberg,Bebop,1930,1966,36,1930-08-22,1930-08-22,22,1966-08-17,17,1966-08-17
Rolf Köhler,Pop music,1951,2007,56,1951-05-24,1951-05-24,1951-05-24,2007-09-16,2007-09-16,2007-09-16
Ron Asheton,Punk rock,1948,2009,61,1948-07-17,1948-07-17,1948-07-17,2009-01-04,2009-01-06,2009-01-01
Ronnie Bond,Pop music,1940,1992,52,1940-05-04,,--05-04,1992-11-13,1992-11-13,
Ronnie Boykins,Jazz,1935,1980,45,1935-12-17,1935-12-17,1935-12-17,1980-04-20,1980-04-20,1980-04-20
Ronnie Drew,Music of Ireland,1934,2008,74,1934-09-16,1934-09-16,16,2008-08-16,16,2008-08-16
Ronnie Dyson,Rhythm and blues,1950,1990,40,1950-06-05,1950-06-05,1950-06-05,1990-11-10,1990-11-10,1990-11-10
Ronnie Hilton,Crooner,1926,2001,75,1926-01-26,1926-01-26,26,2001-02-21,21,"Hailsham, East Sussex, England"
Ronnie James Dio,Hard rock,1942,2010,68,1942-07-10,1942-07-10,1942-07-10,2010-05-16,2010-05-16,2010-05-16
Ronnie Lane,Psychedelic rock,1946,1997,51,1946-04-01,1946-04-01,1,1997-06-04,1997-06-04,1997-06-04
Ronnie Montrose,Heavy metal music,1947,2012,65,1947-11-29,1947-11-29,1947-11-29,2012-03-03,2012-03-03,2012-03-03
Ronnie Scott,Jazz,1927,1996,69,1927-01-28,28,28,1996-12-23,23,1996-12-23
Ronnie Van Zant,Southern rock,1948,1977,29,1948-01-15,1948-01-15,1948-01-15,1977-10-20,1977-10-20,"Gillsburg, Mississippi, United States"
Ron Pigpen McKernan,Blues,1945,1973,28,1945-09-08,1945-09-08,1945-09-08,1973-03-08,1973-03-08,1973-03-08
Roosevelt Sykes,Boogie-woogie,1906,1983,77,1906-01-31,1906-01-31,1906-01-31,1983-07-17,1983-07-17,1983-07-17
Root Boy Slim,Alternative rock,1944,1993,49,1944-07-09,1944-07-09,1944-07-09,1993-06-08,1993-06-08,1993-06-08
Rory Gallagher,Folk music,1948,1995,47,1948-03-02,1948-03-02,2,1995-06-14,14,1995-06-14
Rory Storm,Skiffle,1939,1972,33,1939-09-21,1939-09-21,1939,1972-09-28,1972,1972-09-28
Rosa Henderson,Jazz,1896,1968,72,1896-11-24,1896-11-24,1896-11-24,1968-04-06,1968-04-06,1968-04-06
Roscoe Holcomb,Old-time music,1912,1981,69,1912-09-05,1912-09-05,1912-09-05,1981-02-01,1981-02-01,1981-02-01
Rosemary Clooney,Vocal jazz,1928,2002,74,1928-05-23,1928-05-23,1928-05-23,2002-06-29,2002-06-29,2002-06-29
Rose Murphy,Jazz,1913,1989,76,1913-05-07,1913-04-28,1913-05-07,1989-11-16,1989-11-16,1989-11-16
Rosinha de Valença,Bossa nova,1941,2004,63,1941-07-30,1941-07-30,30,2004-06-10,10,2004-06-10
Rosita Melo,Tango,1897,1981,84,1897-07-09,1897-07-09,1897-07-09,1981-08-12,1981-08-12,1981-08-12
Ross Barbour (singer),Classic pop,1928,2011,83,1928-12-31,1928-12-31,1928-12-31,2011-08-20,2011-08-20,2011-08-20
Rowland S. Howard,Post-punk,1959,2009,50,1959-10-24,1959-10-24,24,2009-12-30,30,2009-12-30
Roy Acuff,Gospel music,1903,1992,89,1903-09-15,1903-09-15,1903-09-15,1992-11-23,1992-11-23,1992-11-23
Roy Brooks,Jazz,1938,2005,67,1938-03-09,1938-03-09,1938-03-09,2005-11-15,2005-11-15,2005-11-15
Roy Brown (blues musician),Rhythm and blues,1925,1981,56,1925-09-10,1925-09-10,1925-09-10,1981-05-25,1981-05-25,1981-05-25
Roy Buchanan,Electric blues,1939,1988,49,1939-09-23,1939-09-23,1939,1988-08-14,1988,1988-08-14
Roy Drusky,Country Music,1930,2004,74,1930-06-22,,1930-06-22,2004-09-23,2004-09-23,
Roy Eldridge,Swing music,1911,1989,78,1911-01-30,1911-01-30,1911,1989-02-26,1989,1989-02-26
Roy Hamilton,Rhythm and blues,1929,1969,40,1929-04-16,1929-04-16,1929-04-16,1969-07-20,1969-07-20,1969-07-20
Roy Harte,Swing music,1924,2003,79,1924-05-27,1924-05-27,27,2003-10-26,26,2003-10-26
Roy Harvey (musician),Bluegrass music,1892,1958,66,1892-03-04,,1892-03-04,1958-07-11,1958-07-11,
Roy Hogsed,Country music,1919,1978,59,1919-12-24,1919-12-24,1919,1978-03-13,1978,1978-03-13
Roy Milton,Rhythm and blues,1907,1983,76,1907-07-31,1907-07-31,1907-07-31,1983-09-18,1983-09-18,1983-09-18
Roy Nichols,Western swing,1932,2001,69,1932-10-21,1932-10-21,1932-10-21,2001-07-03,2001-07-03,2001-07-03
Roy Orbison,Rock & roll,1936,1988,52,1936-04-23,1936-04-23,1936-04-23,1988-12-06,1988-12-06,1988-12-06
Roy Rogers,Country music,1911,1998,87,1911-11-05,1911-11-05,1911-11-05,1998-07-06,1998-07-08,1998-07-08
Roy Shirley,Ska,1944,2008,64,1944-07-18,1944-07-18,1944-07-18,,2008,July 2008
Roy Williamson,Music of Scotland,1936,1990,54,1936-06-25,1936-06-25,1936-06-25,1990-08-12,1990-08-12,
Rozz Williams,Dark Ambient,1963,1998,35,1963-11-06,1963-11-06,1963-11-06,1998-04-01,1998-04-01,1998-04-01
Rual Yarbrough,Bluegrass music,1930,2010,80,1930-01-13,1930-01-13,1930-01-13,2010-09-21,2010-09-21,2010-09-21
Rubén Juárez,Tango music,1947,2010,63,1947-11-05,1947-11-05,5,2010-05-31,2010-05-31,2010-05-31
Ruby Braff,Mainstream jazz,1927,2003,76,1927-03-16,1927-03-16,1927-03-16,2003-02-09,2003-02-09,2003-02-09
Ruby Johnson,R&B,1936,1999,63,1936-04-19,1936-04-19,1936-04-19,1999-07-04,4,1999-07-04
Ruby Murray,Traditional pop music,1935,1996,61,1935-03-29,1935-03-29,29,1996-12-17,17,1996-12-17
Ruda Real,R&B,1977,2006,29,1977-06-05,1977-06-05,1977-06-05,2006-01-29,2006-01-29,2006-01-29
Rudolf Barshai,Classical music,1924,2010,86,1924-09-28,1924-09-28,1924-09-28,2010-11-02,2010-11-02,
Rudolph Ganz,Classical music,1877,1972,95,1877-02-24,1877-02-24,,1972-08-02,,1972-08-02
Rudy Lewis,Rhythm and blues,1936,1964,28,1936-08-23,1936-08-23,1936-08-23,1964-05-20,1964-05-20,1964-05-20
Rudy Regalado (musician),Latin American music,1943,2010,67,1943-01-29,1943-01-29,1943-01-29,2010-11-04,2010-11-04,2010-11-04
Rufus Thomas,Rhythm and blues,1917,2001,84,1917-03-27,1917-03-27,1917,2001-12-15,2001,2001-12-15
Ruhollah Khaleqi,Classical music,1906,1965,59,,1906,1906-?,1965-11-12,1965-11-12,1965-11-12
Rushton Moreve,Psychedelic rock,1948,1981,33,1948-11-06,1948-11-06,1948-11-06,1981-07-01,1981-07-01,1981-07-01
Rust Epique,Rock music,1968,2004,36,1968-02-29,1968-02-29,1968-02-29,2004-03-09,2004-03-09,2004-03-09
Rusty Day,Rock music,1945,1982,37,1945-12-29,1945-12-29,29,1982-06-03,3,1982-03-06
Rusty Draper,Country music,1923,2003,80,1923-01-25,1923-01-25,1923-01-25,2003-03-28,2003-03-28,
Ruth Brown,Jazz,1928,2006,78,1928-01-30,1928-01-30,1928-01-30,2006-11-17,2006-11-17,2006-11-17
Ruth Stuber Jeanne,Classical,1910,2004,94,1910-05-13,,1910-05-13,2004-04-06,2004-04-06,
Ryōichi Hattori,Jazz,1907,1993,86,1907-10-01,1907-10-01,1907,1993-01-30,1993,1993-01-30
Ryu Umemoto,Electronic music,1974,2011,37,1974-02-18,1974-02-18,18,2011-08-17,17,2011-08-17
S. Hanumantha Rao,Music composer,1917,1980,63,,,1917,1980-05-27,1980,
S. Rajeswara Rao,Cinema of India,1922,1999,77,1922-10-11,11,10,1999-10-25,25,1999-10-25
Šaban Bajramović,Romani music,1936,2008,72,1936-04-16,1936-04-16,1936,2008-06-08,2008-06-08,2008-06-08
Sabicas,Flamenco music,1912,1990,78,1912-03-16,16,1912,1990-04-14,1990,14
Safet Isović,Folk music,1936,2007,71,1936-01-06,1936-01-06,1936-01-06,2007-09-02,2007-09-02,2007-09-02
Sagar Sen,Music of Bengal,1932,1983,51,1932-05-15,15,1932,,1983,4
Sahib Shihab,Hard Bop,1925,1989,64,1925-06-23,1925-06-23,23,1989-10-24,24,1989-10-24
Said Dimayev,Music of Chechnya,1939,2005,66,1939-08-24,1939-08-24,1939-08-24,2005-03-28,2005-03-28,2005-03-28
Saleem Raza (Pakistani singer),Classical music,1932,1983,51,1932-03-04,1932-03-04,1932-03-04,1983-11-25,1983-11-25,1983-11-25
Samantha Bumgarner,Old-time music,1878,1960,82,1878-10-31,1878-10-31,1878-10-31,1960-12-24,1960-12-24,1960-12-24
Sam Cooke,Pop music,1931,1964,33,1931-01-22,1931-01-22,1931-01-22,1964-12-11,1964-12-11,1964-12-11
Sam Jones (musician),Jazz,1924,1981,57,1924-11-12,1924-11-12,12,1981-12-15,15,1981-12-15
Sammy Berk,Vaudeville,1894,1983,89,1894-12-24,,1894-12-24,1983-08-05,1983-08-05,
Sammy Lawhorn,Chicago blues,1935,1990,55,1935-07-12,1935-07-12,1935-07-12,1990-04-29,1990-04-29,"Chicago, Illinois, United States"
Sammy Lerner,Musical theatre,1903,1989,86,1903-01-28,1903-01-28,1903-01-28,1989-12-13,1989-12-13,1989-12-13
Sam Phillips,Blues,1923,2003,80,1923-01-05,"Florence, Alabama, U.S.",1923-01-05,2003-07-30,2003-07-30,"Memphis, Tennessee, U.S."
Sam Rivers,Avant-garde jazz,1923,2011,88,1923-09-25,1923-09-25,1923-09-25,2011-12-26,2011-12-26,2011-12-26
Samta Prasad,Indian classical music,1921,1994,73,1921-07-20,1921-07-20,1921-07-20,,1994,1994
Sam Taylor (blues musician),Jump blues,1934,2009,75,1934-10-25,1934-10-25,1934-10-25,2009-01-05,2009-01-04,2009-01-04
Samuel Coleridge-Taylor,Classical music,1875,1912,37,1875-08-15,1875-08-15,15,1912-09-01,1,1912-09-01
Samuel Linley,Baroque music,1760,1778,18,,,1760,,1778,
Sandro de América,Latin pop,1945,2010,65,1945-08-19,1945-08-19,1945-08-19,2010-01-04,2010-01-04,2010-01-04
Sandy Denny,Electric folk,1947,1978,31,1947-01-06,1947-01-06,6,1978-04-21,21,1978-04-21
Sandy Williams,Jazz,1906,1991,85,1906-10-24,24,24,1991-04-25,1991,1991-04-25
San Quinn,Hip hop music,1977,2011,34,1977-10-24,1977-10-24,1977-10-24,2011-10-14,2011-10-14,
Sara Carter,Country music,1898,1979,81,1898-07-21,1898-07-21,1898-07-21,1979-01-08,1979-01-08,1979-01-08
Sarah Vaughan,Vocal jazz,1924,1990,66,1924-03-27,1924-03-27,1924-03-27,1990-04-03,1990-04-03,1990-04-03
Saraswati Rane,Hindustani classical music,1913,2006,93,1913-10-04,1913-10-04,1913-10-04,2006-10-10,2006-10-10,2006-10-10
Saroj Khan,Choreography,1948,1970,22,1948-11-22,1948-11-22,22,--11-22,22,
Sauli Lehtonen,Finnish tango,1975,1995,20,1975-04-10,1975-04-10,10,1995-09-09,1995-09-09,1995-09-09
Savannah Churchill,Pop music,1920,1974,54,1920-08-21,1920-08-21,1920-08-21,1974-04-19,1974-04-19,1974-04-19
Saya Tin,Music of Myanmar,1894,1950,56,1894-02-12,1894-02-12,12,1950-08-08,1950-08-08,1950-08-08
Scan Tester,Folk music,1886,1972,86,1886-09-07,1886-09-07,1886-09-07,,1972,1972
Scatman John,Pop music,1942,1999,57,1942-03-13,1942-03-13,1942-03-13,1999-12-03,1999-12-03,1999-12-03
Scot Halpin,Rock music,1954,2008,54,1954-02-03,1954-02-03,1954-02-03,2008-02-09,2008-02-09,2008-02-09
Scott Bradley,Soundtrack,1891,1977,86,1891-11-26,1891-11-26,1891-11-26,1977-04-27,1977-04-27,1977-04-27
Scott Columbus,Power metal,1956,2011,55,1956-11-10,1956-11-10,1956-11-10,2011-04-04,2011-04-04,2011-04-04
Scott LaFaro,Free jazz,1936,1961,25,1936-04-03,1936-04-03,1936-04-03,1961-07-06,1961-07-06,
Scott La Rock,Hip hop music,1962,1987,25,1962-03-02,1962-03-02,1962-03-02,1987-08-27,1987-08-27,1987-08-27
Scott McKenzie,Pop music,1939,2012,73,1939-01-10,1939-01-10,1939,2012-08-18,2012,2012-08-18
Scott Raynor,Punk rock,1978,2010,32,1978-04-23,1978-05-23,1978-05-23,2010-02-14,2010-02-14,
Scotty (musician),Reggae,1951,2003,52,,,1951,2003-02-27,27,2003-02-27
